Date,Site,Type,City,State,Salinity,Temp,Month,Year,Where,Species,Common,Present
2009-09-29T00:00:00Z,SMCC Dock,Dock,South Portland,Maine,33,15,Sep,2009,Mainland,Diadumene lineata,Striped Anemone,FALSE
2009-09-29T00:00:00Z,SMCC Dock,Dock,South Portland,Maine,33,15,Sep,2009,Mainland,Codium fragile,Green Fleece,FALSE
2009-09-29T00:00:00Z,SMCC Dock,Dock,South Portland,Maine,33,15,Sep,2009,Mainland,Corella eumyota,Tunicate,FALSE
2009-09-29T00:00:00Z,SMCC Dock,Dock,South Portland,Maine,33,15,Sep,2009,Mainland,Palaemon elegans,European Rock Shrimp,FALSE
2009-09-29T00:00:00Z,SMCC Dock,Dock,South Portland,Maine,33,15,Sep,2009,Mainland,Tricellaria inopinata,Unexpected Bryozoan,FALSE
2010-07-20T00:00:00Z,Siegel's Reef,Tidepool,South Portland,Maine,NA,NA,Jul,2010,Mainland,Botrylloides violaceus,Sheath Tunicate,TRUE
2010-07-20T00:00:00Z,Siegel's Reef,Tidepool,South Portland,Maine,NA,NA,Jul,2010,Mainland,Botryllus schlosseri,Golden Star Tunicate,FALSE
2010-07-20T00:00:00Z,Siegel's Reef,Tidepool,South Portland,Maine,NA,NA,Jul,2010,Mainland,Membranipora sp.,Lacy Crust Bryozoan,FALSE
2010-07-20T00:00:00Z,Siegel's Reef,Tidepool,South Portland,Maine,NA,NA,Jul,2010,Mainland,Carcinus maenas,Green Crab,TRUE
2010-07-20T00:00:00Z,Siegel's Reef,Tidepool,South Portland,Maine,NA,NA,Jul,2010,Mainland,Ascidiella aspersa,Sea Squirt,FALSE
2010-07-20T00:00:00Z,Siegel's Reef,Tidepool,South Portland,Maine,NA,NA,Jul,2010,Mainland,Hemigrapsus sanguineus,Asian Shore Crab,FALSE
2010-07-20T00:00:00Z,Siegel's Reef,Tidepool,South Portland,Maine,NA,NA,Jul,2010,Mainland,Styela clava,Club Tunicate,FALSE
